Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
448,0.32784,0.32364,0.3177,0.32609,0.33388,0.34905,0.3586
448.5,0.32693,0.32219,0.3164,0.32463,0.3323,0.34729,0.35751
449,0.32614,0.32123,0.3148,0.32261,0.3302,0.34558,0.35584
449.5,0.32555,0.32065,0.31335,0.32062,0.32826,0.34451,0.35387
450,0.32505,0.31946,0.31245,0.3189,0.32684,0.34327,0.35165
450.5,0.32429,0.31804,0.31212,0.3175,0.32552,0.34187,0.34937
451,0.32335,0.3164,0.31165,0.31607,0.32406,0.34008,0.3479
451.5,0.32232,0.31495,0.3106,0.31438,0.32226,0.33719,0.34644
452,0.32111,0.31402,0.30915,0.31226,0.31983,0.33399,0.34446
452.5,0.32002,0.31328,0.30748,0.30992,0.31722,0.33076,0.34259
453,0.31902,0.31257,0.306,0.30748,0.31473,0.32798,0.34031
453.5,0.31764,0.31161,0.30455,0.3051,0.31244,0.32596,0.33785
454,0.31602,0.31023,0.30346,0.30283,0.31014,0.32439,0.33591
454.5,0.31432,0.30852,0.30208,0.30052,0.30785,0.32251,0.33404
455,0.3125,0.30685,0.30053,0.29791,0.30536,0.3203,0.33169
455.5,0.3107,0.30553,0.29908,0.29508,0.30275,0.31757,0.32903
456,0.30917,0.30415,0.29752,0.29235,0.30013,0.31446,0.32617
456.5,0.30729,0.30257,0.29592,0.28936,0.29761,0.31087,0.32337
457,0.30494,0.30077,0.29455,0.28659,0.295,0.30658,0.32061
457.5,0.30247,0.29839,0.29277,0.28366,0.29219,0.3024,0.31813
458,0.29971,0.29594,0.29067,0.28002,0.28915,0.29858,0.31547
458.5,0.29682,0.29382,0.28868,0.27634,0.28589,0.29563,0.31233
459,0.29397,0.29195,0.28646,0.27264,0.2825,0.29328,0.30927
459.5,0.29109,0.29019,0.28458,0.26912,0.27917,0.2907,0.30627
460,0.28792,0.28858,0.28309,0.2661,0.27594,0.28769,0.30313
460.5,0.28477,0.28678,0.28107,0.26336,0.27284,0.28416,0.30024
461,0.28153,0.28436,0.27885,0.26044,0.26961,0.27995,0.29738
461.5,0.2783,0.28195,0.27657,0.25734,0.26648,0.27577,0.29431
462,0.2753,0.27951,0.27393,0.25403,0.26331,0.27153,0.29138
462.5,0.27251,0.277,0.27161,0.25048,0.25992,0.26775,0.28811
463,0.26954,0.27468,0.2694,0.24703,0.25685,0.26458,0.2848
463.5,0.26636,0.2723,0.26686,0.24355,0.25375,0.2618,0.2814
464,0.26301,0.26934,0.26418,0.23991,0.25049,0.25894,0.27789
464.5,0.25934,0.26645,0.26142,0.23594,0.24736,0.25591,0.27438
465,0.25587,0.26365,0.25834,0.23216,0.24394,0.25265,0.2707
465.5,0.25251,0.26078,0.25541,0.22858,0.24025,0.249,0.26722
466,0.24919,0.25831,0.25262,0.22523,0.23686,0.24552,0.26365
466.5,0.24578,0.25599,0.24986,0.2224,0.23331,0.24182,0.26024
467,0.24237,0.25329,0.24711,0.21941,0.22992,0.23795,0.25717
467.5,0.23864,0.25046,0.24436,0.21625,0.22669,0.23436,0.254
468,0.23511,0.24731,0.24146,0.21287,0.22349,0.23102,0.25094
468.5,0.23178,0.24406,0.23859,0.20958,0.2201,0.22799,0.24763
469,0.22867,0.24078,0.23606,0.20662,0.21648,0.22524,0.24409
469.5,0.22593,0.23782,0.23323,0.20383,0.21306,0.22269,0.24072
470,0.22317,0.23489,0.2304,0.20116,0.2097,0.2198,0.23758
470.5,0.22046,0.23161,0.22758,0.19833,0.20673,0.2166,0.23451
471,0.21749,0.22846,0.22453,0.19511,0.20402,0.21343,0.23145
471.5,0.21458,0.22537,0.22145,0.19192,0.20098,0.21003,0.22811
472,0.21182,0.22257,0.21852,0.18902,0.19778,0.20686,0.2245
472.5,0.20911,0.2198,0.2158,0.18619,0.19446,0.20406,0.22099
473,0.20638,0.217,0.21286,0.18388,0.19133,0.201,0.21782
473.5,0.20368,0.21388,0.21007,0.18118,0.18864,0.19797,0.21482
474,0.20068,0.2106,0.20707,0.17812,0.18609,0.19511,0.21206
474.5,0.19794,0.20764,0.20391,0.17529,0.18322,0.19267,0.2093
475,0.19553,0.20475,0.20149,0.17256,0.18044,0.19045,0.20627
475.5,0.19333,0.20198,0.19949,0.17051,0.17773,0.18829,0.2032
476,0.19144,0.19915,0.19735,0.16862,0.17521,0.18602,0.20037
476.5,0.18906,0.19606,0.19478,0.16664,0.17314,0.18338,0.19782
477,0.18668,0.1933,0.19199,0.16407,0.17101,0.18046,0.19516
477.5,0.1843,0.19092,0.18895,0.16137,0.16836,0.1776,0.19278
478,0.18212,0.18879,0.18616,0.15909,0.16578,0.17507,0.19015
478.5,0.18036,0.18677,0.1838,0.15698,0.16342,0.1728,0.18726
479,0.17833,0.18439,0.18159,0.15493,0.1609,0.17112,0.18477
479.5,0.17627,0.18149,0.1796,0.15285,0.15883,0.16949,0.18228
480,0.17395,0.17872,0.17742,0.15057,0.15667,0.16741,0.17973
480.5,0.17171,0.17628,0.17507,0.14823,0.15422,0.16542,0.17738
481,0.16989,0.17396,0.17257,0.14624,0.15179,0.16321,0.17492
481.5,0.16801,0.17207,0.17014,0.14435,0.14944,0.16102,0.17261
482,0.16613,0.16978,0.16804,0.14273,0.1474,0.15911,0.17056
482.5,0.16383,0.1674,0.16608,0.14084,0.1455,0.15692,0.16869
483,0.16142,0.16525,0.16394,0.1386,0.14372,0.15434,0.16647
483.5,0.15919,0.16338,0.16155,0.13622,0.14159,0.15204,0.16375
484,0.15731,0.16171,0.15934,0.13424,0.13936,0.14985,0.16112
484.5,0.15554,0.15968,0.15731,0.13274,0.13771,0.1482,0.1586
485,0.15348,0.15727,0.15575,0.1316,0.13607,0.14719,0.15673
485.5,0.15107,0.15463,0.15427,0.1301,0.13429,0.14618,0.1554
486,0.14846,0.15231,0.1522,0.12766,0.13232,0.14474,0.15353
486.5,0.14631,0.1508,0.14934,0.12483,0.12977,0.14261,0.1507
487,0.14478,0.14961,0.14637,0.12233,0.1276,0.13984,0.1476
487.5,0.14331,0.14781,0.14372,0.12064,0.12638,0.1365,0.14497
488,0.14143,0.1453,0.14227,0.12012,0.12557,0.13422,0.14327
488.5,0.13867,0.1427,0.14187,0.11982,0.12463,0.13282,0.14198
489,0.13599,0.14044,0.1409,0.11875,0.12257,0.13229,0.14027
489.5,0.13411,0.13932,0.13916,0.1167,0.12011,0.13218,0.13782
490,0.13276,0.13855,0.13626,0.11403,0.11753,0.13072,0.13533
490.5,0.13155,0.13691,0.13303,0.11185,0.11556,0.12875,0.1338
491,0.12934,0.1342,0.13122,0.11055,0.11488,0.12651,0.13257
491.5,0.1262,0.13099,0.1301,0.10964,0.11401,0.12443,0.13111
492,0.12279,0.12822,0.12959,0.10818,0.11181,0.12283,0.12913
492.5,0.12005,0.12652,0.12832,0.10567,0.10916,0.12092,0.12589
493,0.11844,0.12581,0.126,0.10255,0.10609,0.11868,0.12283
493.5,0.11755,0.12459,0.12296,0.09978,0.10341,0.11616,0.12072
494,0.11697,0.12262,0.12031,0.09763,0.10225,0.11422,0.11935
494.5,0.11602,0.11992,0.11883,0.09659,0.10206,0.11321,0.11874
495,0.11423,0.11712,0.11799,0.09637,0.10148,0.11242,0.11785
495.5,0.11194,0.11542,0.11745,0.09585,0.10018,0.11209,0.11608
496,0.10938,0.11432,0.11589,0.0951,0.09812,0.11088,0.11339
496.5,0.10709,0.11346,0.11386,0.09357,0.09557,0.10875,0.11073
497,0.1057,0.11214,0.11136,0.09149,0.09372,0.10631,0.10893
497.5,0.10488,0.11017,0.10908,0.0897,0.09295,0.10401,0.1076
498,0.104,0.10779,0.10766,0.08846,0.0924,0.10215,0.10671
